GB,WORLD_ZONE_GB
IM,WORLD_ZONE_GB
JE,WORLD_ZONE_GB
GG,WORLD_ZONE_GB
AL,WORLD_ZONE_EU
DK,WORLD_ZONE_EU
KG,WORLD_ZONE_EU
RU,WORLD_ZONE_EU
AD,WORLD_ZONE_EU
EE,WORLD_ZONE_EU
LV,WORLD_ZONE_EU
SM,WORLD_ZONE_EU
AM,WORLD_ZONE_EU
FO,WORLD_ZONE_EU
LI,WORLD_ZONE_EU
RS,WORLD_ZONE_EU
AT,WORLD_ZONE_EU
FI,WORLD_ZONE_EU
LT,WORLD_ZONE_EU
SK,WORLD_ZONE_EU
AZ,WORLD_ZONE_EU
FR,WORLD_ZONE_EU
LU,WORLD_ZONE_EU
SI,WORLD_ZONE_EU
PT-20,WORLD_ZONE_EU
GE,WORLD_ZONE_EU
MK,WORLD_ZONE_EU
ES,WORLD_ZONE_EU
IB,WORLD_ZONE_EU
DE,WORLD_ZONE_EU
PT-30,WORLD_ZONE_EU
SE,WORLD_ZONE_EU
BY,WORLD_ZONE_EU
GI,WORLD_ZONE_EU
MT,WORLD_ZONE_EU
CH,WORLD_ZONE_EU
BE,WORLD_ZONE_EU
GR,WORLD_ZONE_EU
MD,WORLD_ZONE_EU
TJ,WORLD_ZONE_EU
BA,WORLD_ZONE_EU
GL,WORLD_ZONE_EU
MC,WORLD_ZONE_EU
TR,WORLD_ZONE_EU
BG,WORLD_ZONE_EU
HU,WORLD_ZONE_EU
ME,WORLD_ZONE_EU
TM,WORLD_ZONE_EU
IC,WORLD_ZONE_EU
IS,WORLD_ZONE_EU
NL,WORLD_ZONE_EU
UA,WORLD_ZONE_EU
FR-H,WORLD_ZONE_EU
NO,WORLD_ZONE_EU
UZ,WORLD_ZONE_EU
IE,WORLD_ZONE_EU
HR,WORLD_ZONE_EU
IT,WORLD_ZONE_EU
PL,WORLD_ZONE_EU
VA,WORLD_ZONE_EU
CY,WORLD_ZONE_EU
KZ,WORLD_ZONE_EU
PT,WORLD_ZONE_EU
CZ,WORLD_ZONE_EU
XK,WORLD_ZONE_EU
RO,WORLD_ZONE_EU
AE,WORLD_ZONE_ONE
AF,WORLD_ZONE_ONE
AG,WORLD_ZONE_ONE
AI,WORLD_ZONE_ONE
AO,WORLD_ZONE_ONE
AR,WORLD_ZONE_ONE
AW,WORLD_ZONE_ONE
AX,WORLD_ZONE_ONE
BB,WORLD_ZONE_ONE
BD,WORLD_ZONE_ONE
BF,WORLD_ZONE_ONE
BH,WORLD_ZONE_ONE
BI,WORLD_ZONE_ONE
BJ,WORLD_ZONE_ONE
BL,WORLD_ZONE_ONE
BM,WORLD_ZONE_ONE
BN,WORLD_ZONE_ONE
BO,WORLD_ZONE_ONE
BQ,WORLD_ZONE_ONE
BQ,WORLD_ZONE_ONE
BR,WORLD_ZONE_ONE
BS,WORLD_ZONE_ONE
BT,WORLD_ZONE_ONE
BV,WORLD_ZONE_ONE
BW,WORLD_ZONE_ONE
BZ,WORLD_ZONE_ONE
CA,WORLD_ZONE_ONE
CD,WORLD_ZONE_ONE
CF,WORLD_ZONE_ONE
CG,WORLD_ZONE_ONE
CI,WORLD_ZONE_ONE
CL,WORLD_ZONE_ONE
CM,WORLD_ZONE_ONE
CN,WORLD_ZONE_ONE
CO,WORLD_ZONE_ONE
CR,WORLD_ZONE_ONE
CU,WORLD_ZONE_ONE
CV,WORLD_ZONE_ONE
CW,WORLD_ZONE_ONE
DJ,WORLD_ZONE_ONE
DM,WORLD_ZONE_ONE
DO,WORLD_ZONE_ONE
DZ,WORLD_ZONE_ONE
EC,WORLD_ZONE_ONE
EG,WORLD_ZONE_ONE
EH,WORLD_ZONE_ONE
ER,WORLD_ZONE_ONE
ET,WORLD_ZONE_ONE
FK,WORLD_ZONE_ONE
FM,WORLD_ZONE_ONE
GA,WORLD_ZONE_ONE
GD,WORLD_ZONE_ONE
GF,WORLD_ZONE_ONE
GH,WORLD_ZONE_ONE
GM,WORLD_ZONE_ONE
GN,WORLD_ZONE_ONE
GP,WORLD_ZONE_ONE
GQ,WORLD_ZONE_ONE
GS,WORLD_ZONE_ONE
GT,WORLD_ZONE_ONE
GU,WORLD_ZONE_ONE
GW,WORLD_ZONE_ONE
GY,WORLD_ZONE_ONE
HK,WORLD_ZONE_ONE
HM,WORLD_ZONE_ONE
HN,WORLD_ZONE_ONE
HT,WORLD_ZONE_ONE
ID,WORLD_ZONE_ONE
IL,WORLD_ZONE_ONE
IN,WORLD_ZONE_ONE
IQ,WORLD_ZONE_ONE
IR,WORLD_ZONE_ONE
JM,WORLD_ZONE_ONE
JO,WORLD_ZONE_ONE
JP,WORLD_ZONE_ONE
KE,WORLD_ZONE_ONE
KH,WORLD_ZONE_ONE
KM,WORLD_ZONE_ONE
KN,WORLD_ZONE_ONE
KP,WORLD_ZONE_ONE
KR,WORLD_ZONE_ONE
KW,WORLD_ZONE_ONE
KY,WORLD_ZONE_ONE
LB,WORLD_ZONE_ONE
LC,WORLD_ZONE_ONE
LK,WORLD_ZONE_ONE
LR,WORLD_ZONE_ONE
LS,WORLD_ZONE_ONE
LY,WORLD_ZONE_ONE
MA,WORLD_ZONE_ONE
MF,WORLD_ZONE_ONE
MG,WORLD_ZONE_ONE
MH,WORLD_ZONE_ONE
ML,WORLD_ZONE_ONE
MM,WORLD_ZONE_ONE
MN,WORLD_ZONE_ONE
MP,WORLD_ZONE_ONE
MQ,WORLD_ZONE_ONE
MR,WORLD_ZONE_ONE
MS,WORLD_ZONE_ONE
MU,WORLD_ZONE_ONE
MV,WORLD_ZONE_ONE
MW,WORLD_ZONE_ONE
MX,WORLD_ZONE_ONE
MY,WORLD_ZONE_ONE
MZ,WORLD_ZONE_ONE
NA,WORLD_ZONE_ONE
NE,WORLD_ZONE_ONE
NF,WORLD_ZONE_ONE
NG,WORLD_ZONE_ONE
NI,WORLD_ZONE_ONE
NP,WORLD_ZONE_ONE
OM,WORLD_ZONE_ONE
PA,WORLD_ZONE_ONE
PE,WORLD_ZONE_ONE
PH,WORLD_ZONE_ONE
PK,WORLD_ZONE_ONE
PM,WORLD_ZONE_ONE
PR,WORLD_ZONE_ONE
